id,id_motoristas,id_rotas,tempo_decorrido,destino,valor,avaliação_em_estrelas,partida,tamanho_do_percuros
1,5,1,0.02,São Pereira, R$ 50.04 ,1,São Viscenso,1.99
2,3,2,0.05,São Viscenso, R$ 50.10 ,5,Ouro Frio,5.00
3,1,3,0.50,Divisa Nova, R$ 51.00 ,5,São Pereira,10.00
4,5,6,0.23,São Pereira, R$ 50.47 ,2,Bom Repouso do Sul,14.00
5,3,4,0.25,Riacho do Sol, R$ 50.50 ,2,Adamantina,20.00
6,2,2,0.05,Morro Alto, R$ 50.10 ,4,Monte do Alto Carvalho,5.00
7,1,3,0.50,Monte do Alto Carvalho, R$ 51.00 ,5,Adamantina,10.00
8,6,5,0.27,Adamantina, R$ 50.53 ,2,Riacho do Sol,20.00
9,6,1,0.20,Porto Esperança, R$ 50.40 ,1,Divisa Nova,19.88
10,1,3,0.50,São Pereira, R$ 51.00 ,3,Adamantina,10.00
